Region,Pays,Periode_ou_date,Evenement_ou_lieu,Type,Lieu,Adresse,Ville,Organisateur,Contact_public,Site,Source_URL,Compatibilite_Nyllo,Priorite,Statut,Notes
Hauts-de-France,France,2024-2026,Le Caf&diskaire,Café-concert / disquaire,Le Caf&diskaire,79 rue Colbert,Lille,Le Caf&diskaire,03 61 50 77 54,https://www.cafediskaire.fr/,https://leslabelsindependants.fr/repertoire/le-cafdiskaire/,Bonne,B,à contacter,Téléphone confirmé ; pas d’email direct fiable trouvé.
Hauts-de-France,France,2024-2026,La Bulle Café,Café-concert / DJ sets / soirées,Maison Folie Moulins,47/49 rue d’Arras,Lille,La Bulle Café / Maison Folie Moulins,mfmoulins@mairie-lille.fr,https://maisonsfolie.lille.fr/la-bulle-cafe,https://maisonsfolie.lille.fr/informations-pratiques,Bonne,B,à contacter,Email Maison Folie Moulins et téléphone 03 20 95 08 82 confirmés ; demander relais La Bulle Café.
Hauts-de-France,France,2024-2026,Le Musical,Bar concerts / jams / DJ sets,Le Musical,59 rue de Flers,Lille,Le Musical,lemusical@gmail.com,https://www.lemusical.fr/,https://www.lemusical.fr/,Bonne,B,à contacter,"Bar de quartier avec événements réguliers, concerts et DJ"
Hauts-de-France,France,2024-2026,Café Peacock,Bar / concerts / DJ sets,Café Peacock,14 place Rihour,Lille,Café Peacock,lille@cafe-peacock.fr,https://cafe-peacock.fr/,https://cafe-peacock.fr/en/nos-evenements/,Moyenne,B,à contacter,"Concerts jazz, rock, DJ set et événements privés"
Hauts-de-France,France,2024-2026,Café Citoyen,Bar culturel / musique du monde,Café Citoyen,7 place du Vieux Marché aux Chevaux,Lille,Café Citoyen,contact@cafecitoyen.org,https://www.cafecitoyen.org,https://www.apes-hdf.org/notre-r%C3%A9seau/les-adherents/cafecitoyenorg/,Bonne,B,à contacter,Email et téléphone 03 20 13 15 73 confirmés.
Hauts-de-France,France,2024-2026,Les Sarrazins,Café coopératif / événements culturels,Café Les Sarrazins,52-54 rue des Sarrazins,Lille,Les Sarrazins,contact@les-sarrazins.org,https://les-sarrazins.org/,https://les-sarrazins.org/,Bonne,B,à contacter,"Événements culturels, associatifs et musicaux"
Hauts-de-France,France,2024-2026,Le Bus Magique,Café associatif / concerts,Péniche Le Bus Magique,Avenue Cuvier,Lille,Le Bus Magique,lebusmagique.lille@gmail.com,https://lebusmagiquelille.fr,https://www.slowlille.fr/project/le-bus-magique/,Bonne,B,à contacter,"Tiers-lieu sur l’eau, concerts et programmation culturelle"
Hauts-de-France,France,2026,Skuuurt Afro Sound,Soirée afro / amapiano / dancehall / baile,Le Flow,1 rue de Fontenoy,Lille,Le Flow / Sagitto & Yort,via billetterie Shotgun,https://flow.lille.fr/,https://agenda.lavoixdunord.fr/fr/evenements/625836_skuuurt-afro-sound.html,Forte,A,à contacter,"Événement afro, shatta, bouyon, amapiano, dancehall, baile | Contact recoupé depuis autre fichier booking le 13/08/2026."
Hauts-de-France,France,2024-2026,Le Flow,Centre cultures urbaines / concerts,Le Flow,1 rue de Fontenoy,Lille,Ville de Lille / Le Flow,flow@mairie-lille.fr,https://flow.lille.fr/,https://agenda.lavoixdunord.fr/fr/evenements/625836_skuuurt-afro-sound.html,Bonne,B,à contacter,"Lieu public utile pour afro, hip-hop, danse, cultures urbaines | Contact recoupé depuis autre fichier booking le 13/08/2026."
Hauts-de-France,France,2024-2026,La Lune des Pirates,SMAC / concerts debout,La Lune des Pirates,17 quai Bélu / 58-bis rue St Leu,Amiens,La Lune des Pirates,contact@lalune.net,https://www.lalune.net/,https://www.lalune.net/infos/contact/nous-contacter,Bonne,B,à contacter,"Salle de musiques actuelles, concerts debout, club et grande salle"
Hauts-de-France,France,2024-2026,Air Beer’n’Bear,Bar concerts / klub,Air Beer’n’Bear,219 route d’Abbeville,Amiens,Air Beer’n’Bear,airbeernbearklubhouse@gmail.com,https://www.airbeernbear.fr/,https://www.airbeernbear.fr/,Bonne,B,à contacter,"Bar concerts et événements, contact public affiché"
Hauts-de-France,France,Juillet 2026,Voyage au cœur de l’été,Festival musiques du monde,Cloître Dewailly,3 place Louis Dewailly,Amiens,Association Prémice,associationpremice@gmail.com,https://www.voyageaucoeurdelete.com/,https://www.voyageaucoeurdelete.com/,Très forte,A,à contacter,Festival de musiques du monde sur 4 semaines à Amiens
Hauts-de-France,France,2024-2026,Collectif La Cantina,Collectif latino / spectacles publics,Hauts-de-France,Hauts-de-France,Hauts-de-France,Collectif La Cantina,collectiflacantina@gmail.com,https://www.collectiflacantina.com/,https://www.collectiflacantina.com/qui-sommes-nous,Très forte,A,à contacter,"Réseau latino régional, festivals, bals populaires et événements communautaires"
Grand Est,France,2024-2026,Karmen Camina,Lieu culturel / club / concerts,Karmen Camina,Manufacture des Tabacs,Strasbourg,Karmen Camina,event@karmen-camina.eu,https://www.karmen-camina.eu/,https://www.karmen-camina.eu/,Très forte,A,à contacter,"Ouvert en mai 2024, house, techno, latincore, afro, dancehall, baile funk | Enrichi auto 13/08/2026 : Contact_public=event@karmen-camina.eu ; source https://www.karmen-camina.eu/"
Grand Est,France,2024-2026,KALT,Club électronique / arts visuels,KALT,1 rue La Fayette,Strasbourg,KALT,contact@k-alt.com,https://www.k-alt.com/,https://www.k-alt.com/,Bonne,B,à contacter,"Programmation house, techno, ambient tous les samedis | Enrichi auto 13/08/2026 : Contact_public=contact@k-alt.com ; source https://www.k-alt.com/"
Grand Est,France,2024-2026,Hey Mama,Lieu afro-fusion / DJ sets / concerts,Hey Mama Gare,8 Petite rue de la Course,Strasbourg,Hey Mama,03 88 59 08 36,https://heymama-restaurant.com/,https://heymama-restaurant.com/,Forte,A,à contacter,"Cuisine afro-fusion, lieu vivant, événements, DJ sets et concerts"
Grand Est,France,2024-2026,Bateau du Rhin,Dîner-concert / soirées latino,Bateau du Rhin,20 rue du Port du Rhin,Strasbourg,Bateau du Rhin,lebateaudurhinmusicien@gmail.com,https://www.bateau-du-rhin.fr/,https://www.bateau-du-rhin.fr/,Forte,A,à contacter,"Contact artistes dédié ; dîners-concerts, soirée latino, DJ, danse"
Grand Est,France,2024-2026,Maison de l’Amérique Latine - Café Libro,Café associatif / concerts latino,Café Libro,à compléter,Strasbourg,Maison de l’Amérique Latine,maisonlatine@gmail.com,https://maisonlatine.fr/,https://maisonlatine.fr/cafe-associatif/,Très forte,A,à contacter,Concert ou spectacle le vendredi à 21h après repas latino | Enrichi auto 13/08/2026 : Contact_public=maisonlatine@gmail.com ; source https://maisonlatine.fr/
Grand Est,France,2024-2026,Ancrage Café,Café alternatif / concerts / DJ sets,Ancrage Café Kaleidoscoop,5 rue de la Coopérative,Strasbourg,PUR COOP,ancragecafe@purcoop.org,https://www.purcoop.org/restaurants/ancrage-cafe,https://www.purcoop.org/restaurants/ancrage-cafe,Bonne,B,à contacter,"Concerts, DJ sets, événements culturels, privatisation | Enrichi auto 13/08/2026 : Contact_public=ancragecafe@purcoop.org ; source https://www.purcoop.org/restaurants/ancrage-cafe"
Grand Est,France,10 janvier 2026,Tiger Night Bachata & Kizomba,Soirée danse latine et afro,Petit Tigre,5 rue du Faubourg National,Strasbourg,I’LAND DANCE S’COOL,0659859121,https://letigre.eu/,https://letigre.eu/evenement/tiger-night/,Très forte,A,à contacter,"Bachata et kizomba, événement compatible danse et afro-latin"
Grand Est,France,2025-2026,Coupé décalé,Workshop danse afro,Centre Culturel Marcel Marceau,Neudorf,Strasbourg,Association Sôléfê,association.solefe@gmail.com,https://danse.strasbourg.eu/,https://danse.strasbourg.eu/evenements/afro-fusion-duo/,Forte,B,à contacter,"Dates 2025/2026, réseau afro-urbain local"
Grand Est,France,30 juillet 2026,House of Brass - Un Été à Reims,Concert électro brass,Cryptoportique,Place du Forum,Reims,Ville de Reims / Direction culture,info-culture@reims.fr,https://www.infoculture-reims.fr/,https://www.infoculture-reims.fr/details.php?s_ev_id=25165,Forte,A,à contacter,"Électro brass, fusion traditionnel/moderne, gratuit"
Grand Est,France,2024-2026,CaféGEM,Café associatif / événements culturels,CaféGEM,12 rue Passe-Demoiselles,Reims,CaféGEM,cafegem.reims@gmail.com,https://www.cafegem.org/,https://www.cafegem.org/contact/,Moyenne,B,à contacter,"Café associatif ouvert à tous, événements culturels et artistiques"
Grand Est,France,2024-2026,L’Excalibur,Bar concert,L’Excalibur,5 rue de la Grue,Reims,L’Excalibur,03 26 50 81 28,à compléter,https://www.instagram.com/explore/locations/17502109/lexcalibur/,Bonne,B,à contacter,Téléphone lieu trouvé via Instagram location ; email direct non trouvé.
Grand Est,France,2024-2026,L’Appart Café,Café concert / club,L’Appart Café,9 avenue de Laon,Reims,L’Appart Café,ludwig.booking.appartcafe@outlook.fr,à compléter,https://musiquesactuelles.fr/repertoire/lappart-cafe/,Bonne,B,à contacter,"Café concert electro, indie, rock, jam session lundi"
Grand Est,France,2024-2026,L’Avant-Poste,Café culturel / musique live,L’Avant-Poste,13 rue des Jardins,Metz,L’Avant-Poste,03 65 67 47 40,à compléter,https://www.mosl.fr/en/f838172900_lavant-poste-cafe-culturel-metz-en,Bonne,B,à contacter,Café avec musique live à Metz
Grand Est,France,2024-2026,Cité musicale-Metz,Salle / programmation musiques du monde,Arsenal / BAM / Trinitaires,Metz,Cité musicale-Metz,program@citemusicale-metz.fr,https://www.citemusicale-metz.fr/,https://www.citemusicale-metz.fr/contact,Forte,A,à contacter,"Direction artistique publique, musiques du monde programmées",
Grand Est,France,17-19 juillet 2026,Metz Veggie Festival,Festival musique / food / électro tribal,Les Frigos,Metz,Metz Veggie Festival,Metz Veggie Festival,contact via site officiel,https://veggie-festival.fr/,https://veggie-festival.fr/,Bonne,B,à contacter,Programmation avec ethno groove et DJ electro tribal ; contacter via site officiel.
Grand Est,France,2024-2026,Cafés concerts Nancy,Lieux multiples cafés-concerts,Nancy,Nancy,Nancy54 / lieux locaux,contacts par lieu,contacts par lieux listés,https://www.nancy54.com/sorties-loisirs/bars-pubs-brasseries/cafes-concerts/page-1,https://www.nancy54.com/sorties-loisirs/bars-pubs-brasseries/cafes-concerts/page-1,Bonne,B,à contacter,"Liste de lieux locaux : A la Maison, Le Bon Temps, Royal Royal, Quincaillerie, Black Baron, Chez Paulette, Jazzers Bar."
Normandie,France,21 juin 2026,Fête de la musique Région Normandie,Concerts publics / musiques actuelles,Parc de l’Abbaye-aux-Dames,Avenue Georges Clémenceau,Caen,Région Normandie,via site régional,https://www.normandie.fr/,https://www.normandie.fr/fete-de-la-musique,Forte,A,à vérifier,"8 groupes, musique du monde, pop électro, soul hip-hop, électro"
Normandie,France,2024-2026,Le Cargö,SMAC / club / grande salle,Le Cargö,9 cours Caffarelli,Caen,Arts Attack! / Le Cargö,contact@lecargo.fr,https://www.lecargo.fr/,https://www.cnas.fr/node/166103,Forte,A,à contacter,"Scène musiques actuelles, club, bar, actions culturelles"
Normandie,France,2024-2026,Café Le Régent,Bar latino / concerts live / stand-up,Café Le Régent,3 avenue de la Libération,Caen,Café Le Régent,02 31 93 75 75,https://cafeleregent.fr/,https://cafeleregent.fr/,Très forte,A,à contacter,"Soirées latino, concerts live, jam, scène ouverte"
Normandie,France,2024-2026,Trianon Transatlantique,Salle spectacle / café-concert,Trianon Transatlantique,114 avenue du 14 Juillet,Sotteville-lès-Rouen,Trianon Transatlantique / Ville,02 35 73 65 99,https://www.trianontransatlantique.com/,https://services.mairie-sotteville-les-rouen.fr/?acadp_listings=trianon-transatlantique,Bonne,B,à contacter,"Salle en version café-concert, fosse ou gradins"
Normandie,France,17 juillet 2025,Huka x Huka - Terrasses du Jeudi,Concert public / world-electro,Place Saint-Sever,Place Saint-Sever,Rouen,Terrasses du Jeudi / Ville de Rouen,à vérifier,https://www.terrassesdujeudi.fr/,https://rouen.fr/fr/terrasses-jeudi,Forte,A,à vérifier,"Événement public compatible, Nyllo y était avec Huka x Huka"
Normandie,France,2024-2026,Le Bar’Ouf,Bar musical / DJ sets,Le Bar’Ouf,11 bis rue de Fontenelle,Rouen,Le Bar’Ouf,06 86 11 90 81,à compléter,https://www.normandie-tourisme.fr/restaurants/le-barouf/,Bonne,B,à contacter,"Bar ambiance musicale, soirées à thème et DJ sets"
Normandie,France,2024-2026,Le Shay’n,Bar RnB / zouk / dancehall,Le Shay’n,44 quai Cavelier de La Salle,Rouen,Le Shay’n,ceciliashayna15@gmail.com,https://www.le-shayn.fr/,https://www.le-shayn.fr/contact,Forte,A,à contacter,"Bar musical RnB, zouk, dancehall, compatible afro-danse | Enrichi auto 13/08/2026 : Contact_public=ceciliashayna15@gmail.com ; source https://www.le-shayn.fr/"
Normandie,France,16-19 juillet 2026,Nuits Suspendues,Festival plein air / soul afro-funk cumbia,Jardins Suspendus,Le Havre,Ville du Havre / Nuits Suspendues,Ville du Havre / Nuits Suspendues,culture@lehavre.fr,https://lehavre.fr/nuits-suspendues,https://lehavre.fr/nuits-suspendues,Très forte,A,à contacter,"Festival plein air soul, afro-funk, jazz, cumbia, musiques orientales ; contact culture Le Havre."
Normandie,France,21 juin 2026,Fête de la musique Le Havre,Événement public multi-genres,Lieux multiples,Le Havre,Ville du Havre / partenaires,Ville du Havre / partenaires,culture@lehavre.fr,https://www.fdlm.app/,https://www.fdlm.app/,Forte,A,à contacter,"Tags visibles : samba, afrobeat, batucada, tropical, house, techno, percussions ; contact culture Le Havre."
Normandie,France,2024-2026,Le Groove,Bar concerts,Le Groove,23 rue du Bastion,Le Havre,Le Groove,02 32 79 92 05,https://legroove.fr/,https://legroove.fr/,Bonne,B,à contacter,"Bar avec infos concerts, ambiance live"
Normandie,France,2024-2026,Le Carré des Docks,Salle spectacle / concerts,Le Carré des Docks,Quai de la Réunion,Le Havre,SNC Docks Café,info@dockslehavre.com,https://www.dockslehavre.com/,https://www.dockslehavre.com/evenement/danakil/,Moyenne,B,à contacter,"Grande salle, plutôt booking structuré"
Île-de-France,France,2024-2026,Le Point Fort d’Aubervilliers,Lieu cultures du monde / concerts,Le Point Fort,174 avenue Jean Jaurès,Aubervilliers,Villes des Musiques du Monde,contact@lepointfort.com,https://www.lepointfort.com/,https://www.lepointfort.com/,Très forte,A,à contacter,"Musiques et danses du monde, concerts, techno/trance, afro-colombien"
Île-de-France,France,11 oct-10 nov 2025,Villes des Musiques du Monde,Festival itinérant musiques du monde,Multi-lieux IDF,Île-de-France,Association Villes des Musiques du Monde,à vérifier,contact via formulaire / 01 48 36 34 02,https://www.villesdesmusiquesdumonde.com/,https://www.villesdesmusiquesdumonde.com/contact/,A,à vérifier,à contacter,Formulaire officiel + téléphone association ; pas d’email public direct.
Île-de-France,France,2024-2026,Studio de l’Ermitage,Salle jazz et musiques du monde,Studio de l’Ermitage,Paris 20e,Studio de l’Ermitage,studioermitage@gmail.com,https://www.studio-ermitage.com/,https://www.studio-ermitage.com/,Très forte,A,à contacter,"Salle jazz et musiques du monde, samba, MPB, cumbia",
Île-de-France,France,2024-2026,Les Disquaires,Café-concert éclectique,Les Disquaires,4-6 rue des Taillandiers,Paris 11e,Les Disquaires,resa@lesdisquaires.com,https://www.lesdisquaires.com/,https://www.reseau-map.fr/adherents/les-disquaires/,Très forte,A,à contacter,"Jazz, soul, funk, électro, hip-hop, cumbia, afro-caribéen, brésilien"
Île-de-France,France,2024-2026,La Maz,Café-concert / lieu culturel,La Maz,9 rue Turbigo,Paris 1er,La Maz,contact@lamaz.fr,https://www.lamaz.fr/,https://www.lamaz.fr/,Bonne,B,à contacter,"Café concert et lieu culturel, petit format possible"
Île-de-France,France,2024-2026,L’Âge d’Or,Café-concert / musiques du monde,L’Âge d’Or,26 rue du Docteur Magnan,Paris 13e,L’Âge d’Or,contact@lagedorparis.com,https://lagedorparis.com/,https://lagedorparis.com/concert/,Très forte,A,à contacter,"Lives les jeudis, jazz, musiques du monde et formes urbaines"
Île-de-France,France,2024-2026,Péniche Demoiselle,Bar associatif / concerts / bals,Péniche Demoiselle,33-35 quai de l’Oise,Paris 19e,Péniche Demoiselle,contact@peniche-demoiselle.com,https://www.peniche-demoiselle.com/,https://www.peniche-demoiselle.com/contacts/,Très forte,A,à contacter,"Concerts musiques du monde, bals, danse, forró"
Île-de-France,France,21 juin 2026,Bailinho BOM,Fête de la musique / événement brésilien,La Panza,43 rue Servan,Paris 11e,La Panza / Alex K,0625460385,https://fetedelamusique.culture.gouv.fr/,https://fetedelamusique.culture.gouv.fr/w/364732/evenement/19727465/bailinho-bom,Très forte,A,à contacter,"Rue brésilienne, bossa-nova, roda de samba, DJ tropical et électronique"
Île-de-France,France,24 juin 2026,BAILAME - Soirée brésilienne,Soirée brésilienne / live / DJ,Tout le Monde en Parle,4 rue du Départ,Paris 15e,TLMP / BAILAME,restotlmp@yahoo.fr,https://www.restaurant-paris-tlmp.fr/,https://www.restaurant-paris-tlmp.fr/soiree-bresilienne-a-paris-bailame-24-juin-2026/,Très forte,A,à contacter,"Samba, pagode, funk brésilien, afro house, reggaeton, live + DJ"
Île-de-France,France,2024-2026,Oh Quai Latin,Restaurant bar brésilien / live / DJ,Oh Quai Latin,45 quai des Grands Augustins,Paris 6e,Oh Quai Latin,01 42 49 64 24,https://ohquailatin.com/,https://ohquailatin.com/,Très forte,A,à contacter,"Restaurant bar brésilien, musique live et soirées DJ"
Île-de-France,France,2024-2026,Superflu,Restaurant audiophile / DJ sets,Superflu,227 bis rue Marcadet,Paris 18e,Superflu,contact@superfluparis.fr,https://www.superfluparis.fr/,https://www.superfluparis.fr/,Bonne,B,à contacter,Rendez-vous musicaux du jeudi au samedi
Île-de-France,France,2024-2026,Divan du Monde,Salle concert / club,Divan du Monde,75 rue des Martyrs,Paris 18e,Divan du Monde,programmation@divandumonde.com,https://www.divandumonde.com/,https://www.divandumonde.com/en/home/,Bonne,B,à contacter,"Salle concert + club, programmation et production identifiées"
Île-de-France,France,2026-2027,Scènes du Monde au Canal,Appel à programmation musiques du monde,Scène du Canal - Espace Jemmapes,116 quai de Jemmapes,Paris 10e,CRL10 + Collectif MDM IDF,com@crl10.net,https://www.crl10.net/,https://www.crl10.net/index.php/scenes-du-monde-au-canal/,Très forte,A,à contacter,Appel à programmation ouvert pour 8 dates entre octobre 2026 et mai 2027 | Enrichi auto 13/08/2026 : Contact_public=com@crl10.net ; source https://www.crl10.net/
Île-de-France,France,2024-2026,Les Musiterriens,Association musiques actuelles du monde,Les Musiterriens,17 rue Saint-Bernard,Paris 11e,Les Musiterriens,info@lesmusiterriens.org / 06 76 87 72 12,https://www.lesmusiterriens.org/,https://www.facebook.com/Musiterriens/,Forte,B,à contacter,Email Facebook et téléphone association confirmés ; second téléphone 06 52 77 11 31 listé par La Corde Vocale.
Île-de-France,France,2024-2026,Danse Afro Urbaine Paris,Association danse afro / événements,Lieux multiples,Paris,Danse Afro Urbaine Paris,danseafrourbaine@gmail.com,https://www.danseafrourbaine.com/,https://www.danseafrourbaine.com/contact,Forte,B,à contacter,"Réseau danse afro, possible événement live + danse",
Île-de-France,France,2024-2026,Mastatik Records,Booking afro-urbain / événements,Paris,Paris,Mastatik Records,contact@mastatikrecords.com,https://mastatikrecords.com/,https://mastatikrecords.com/contact/,Bonne,B,à contacter,"Plateforme booking afro-urbain, utile comme relais",
Île-de-France,France,2024-2026,WorldSoulProd,Agence booking musiques du monde,Aubervilliers,Aubervilliers,WorldSoulProd,contact@worldsoulprod.com,https://www.worldsoulprod.com/,https://www.worldsoulprod.com/presentation,Forte,B,à contacter,"Agence jazz et musiques du monde, production de tournée",
Île-de-France,France,2024-2026,Badauê Batucada,Réseau batucada / événements brésiliens,Paris,Paris,Badauê,Badauê,contact via site officiel,https://badaue.com/,https://badaue.com/,Forte,B,à contacter,"Réseau percussions brésiliennes, événements 2024-2025 affichés ; contacter via site officiel."
Île-de-France,France,2024-2026,Pessoa Connect,Événementiel brésilien / batucada,Paris / IDF,Paris,Pessoa Connect,contact@pessoaconnect.com,https://pessoaconnect.com/,https://pessoaconnect.com/contact,Forte,B,à contacter,"Réseau brésilien événementiel, batucada et soirées",
Île-de-France,France,17 juin 2026,Bossa Nova à Saint-Germain,Concert brésilien,Chez Georges,11 rue des Canettes,Paris 6e,Alex Swing Events / Chez Georges,01 43 26 79 15,https://www.parisjazzclub.net/,https://www.parisjazzclub.net/fr/108301/concert/2026/06/17/bossa-nova-a-saint-germain-avec-betina-aarao,Forte,B,à contacter,"Concert bossa nova, bar à vin et cave à concerts"
