Nom,Ancien_region,Nouveau_region,Ancien_contact,Nouveau_contact,Ancien_statut,Nouveau_statut,Source_URL,Notes
Fingova,Wallonie,Wallonie,fingova@gmail.com,fingova@gmail.com,verifie email,verifie email,https://www.facebook.com/Aperobike/,"Region corrigee: Ham-sur-Heure-Nalinnes, Hainaut."
Chateau d'Egmont,Wallonie,Wallonie,info@chateaudegmont.be,info@chateaudegmont.be,contact public verifie,contact public verifie,https://www.chateaudegmont.be/,Telephone ajoute depuis contact utilisateur; lieu classe Namur/Eghezee.
Le Kraken Pub,Wallonie,Wallonie,contact@lekrakenpub.com,contact@lekrakenpub.com,verifie email,verifie email,à compléter,Region corrigee Namur; email public utilisateur conserve.
Storia Club Event,Wallonie,Wallonie,storiaclubevent@gmail.com,storiaclubevent@gmail.com,a verifier,a verifier,à compléter,Email conserve; ville/province encore a identifier.
Sounds Jazz Club,Bruxelles-Capitale,Bruxelles-Capitale,sounds-resist@collectifs.net,sounds-resist@collectifs.net,contact public verifie,contact public verifie,https://www.sounds.brussels/fr/jazz-club/,Region corrigee: Ixelles/Bruxelles.
Kompass Klub,Flandre,Flandre,info@kompassklub.com,info@kompassklub.com,a verifier,a verifier,https://visit.gent.be/en/see-do/kompass-klub,Club Gent; contact direct a completer via site/social officiel.
Chateau d'Egmont,Wallonie,Wallonie,info@chateaudegmont.be,info@chateaudegmont.be,contact public verifie,contact public verifie,https://www.chateaudegmont.be/,Telephone ajoute depuis contact utilisateur; lieu classe Namur/Eghezee.
Le Kraken Pub,Wallonie,Wallonie,contact@lekrakenpub.com,contact@lekrakenpub.com,verifie email,verifie email,à compléter,Region corrigee Namur; email public utilisateur conserve.
Storia Club Event,Wallonie,Wallonie,storiaclubevent@gmail.com,storiaclubevent@gmail.com,a verifier,a verifier,à compléter,Email conserve; ville/province encore a identifier.
Sounds Jazz Club,Bruxelles-Capitale,Bruxelles-Capitale,booking via formulaire / sounds-resist@collectifs.net,booking via formulaire / sounds-resist@collectifs.net,contact public verifie,contact public verifie,https://www.sounds.brussels/fr/jazz-club/,Region corrigee: Ixelles/Bruxelles.
