Fichier,Ligne,Nom,Ville,Contact,Statut,Note
Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv,29,Metz Veggie Festival,Metz Veggie Festival,https://veggie-festival.fr/,Programmation avec ethno groove et DJ electro tribal,
Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv,30,Cafés concerts Nancy,Nancy54 / lieux locaux,https://www.nancy54.com/,"A la Maison, Le Bon Temps, Royal Royal, Quincaillerie, Black Baron, Chez Paulette, Jazzers Bar",
Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv,31,Fête de la musique Région Normandie,Caen,via site régional,à vérifier,"8 groupes, musique du monde, pop électro, soul hip-hop, électro"
Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv,35,Huka x Huka - Terrasses du Jeudi,Rouen,à vérifier,à vérifier,"Événement public compatible, Nyllo y était avec Huka x Huka"
Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv,38,Nuits Suspendues,Ville du Havre / Nuits Suspendues,https://lehavre.fr/nuits-suspendues,"Soul, afro-funk, jazz, cumbia, musiques orientales",
Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv,39,Fête de la musique Le Havre,Ville du Havre / partenaires,https://www.fdlm.app/,"Tags visibles : samba, afrobeat, batucada, tropical, house, techno, percussions",
Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv,43,Villes des Musiques du Monde,Association Villes des Musiques du Monde,contact via formulaire / 01 48 36 34 02,à contacter,Formulaire officiel + téléphone association ; pas d’email public direct.
Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv,59,Badauê Batucada,Badauê,https://badaue.com/,"Réseau percussions brésiliennes, événements 2024-2025 affichés",
Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv,21,Brasserie iLLeGaaL,Bruxelles,art@brasserie-illegaal.com,à contacter,Email culture/art confirmé par Visit Brussels ; lieu festif avec concerts et événements.
Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv,23,KFK Hope,Bruxelles,christiane@kfkhope.com,à contacter,Email privatisation confirmé sur site ; info@kfkhope.com et +32 460 95 41 50 aussi disponibles.
