Pays,Region,Ville,Lieu,Type,Email,Telephone,Adresse,Site,Source_URL,Compatibilite_Nyllo,Priorite,Statut,Notes
France,Hauts-de-France,Lille,L'Aeronef,SMAC / salle de concerts,contact@aeronef.fr,03 20 13 50 00,"168 avenue Willy Brandt, Centre Commercial Euralille, 59777 Lille",https://aeronef.fr/,https://billetterie.aeronef.fr/sites/billetterie.aeronef.fr/files/la_billetterie/cgv/CGV%20Billetterie%20L%27A%C3%A9ronef_mars2025.pdf,Très forte,A,à contacter,Email général public ; l'équipe indique aussi un bouton/message vers le directeur artistique
France,Hauts-de-France,Lille,L'Aeronef - accompagnement artistes,Accompagnement / appels artistes,kickoff@aeronef.fr,03 20 13 50 00,"168 avenue Willy Brandt, Centre Commercial Euralille, 59777 Lille",https://aeronef.fr/,https://aeronef.fr/actualites/kickoff-25,Bonne,B,à contacter,Adresse pour dispositif artistes ; pas forcément programmation concert
France,Hauts-de-France,Lille,Le Flow,Centre cultures urbaines / concerts,flow@mairie-lille.fr,+33 3 62 14 59 52,"1 rue de Fontenoy, 59000 Lille",https://flow.lille.fr/,https://flow.lille.fr/nous-contacter,Très forte,A,à contacter,Très bon contact afro/urbain/danse ; déjà présent dans fichier services
France,Hauts-de-France,Lille,La Bulle Cafe / Maisons Folie,Salle / cafe-concert / DJ sets,mfmoulins@mairie-lille.fr,03 20 95 08 82,"47/49 rue d'Arras, 59000 Lille",https://maisonsfolie.lille.fr/la-bulle-cafe,https://maisonsfolie.lille.fr/la-bulle-cafe,Forte,A,à contacter,Email Maison Folie Moulins confirmé ; téléphone 03 20 95 08 82 ; demander relais La Bulle Café / programmation soirées.
France,Hauts-de-France,Tourcoing,Le Grand Mix,SMAC / salle de concerts,elise@legrandmix.com,03 20 70 10 00,"5 place Notre-Dame, 59200 Tourcoing",https://legrandmix.com/,https://legrandmix.com/,Très forte,A,à contacter,Contact direction trouvé sur page soutien Le Grand Mix ; téléphone général 03 20 70 10 00 conservé. Demander relais programmation.
France,Hauts-de-France,Roubaix,La Condition Publique,Tiers-lieu culturel / concerts / expositions,info@laconditionpublique.com,03 28 33 57 57,"14 place Faidherbe, 59100 Roubaix",https://laconditionpublique.com/,https://www.roubaixtourisme.com/avoir/la-condition-publique-2/,Très forte,A,à contacter,"Lieu culturel très compatible formats live, club, terrasse, afro-house"
France,Hauts-de-France,Tourcoing,Le Fresnoy,Studio national / arts contemporains / événements,accueil@lefresnoy.net,+33 3 20 28 38 00,"22 rue du Fresnoy, 59202 Tourcoing cedex",https://www.lefresnoy.net/,https://www.lefresnoy.net/en/ecole/etudiant/696,Bonne,B,à contacter,Contact accueil général ; demander relais événements artistiques
France,Hauts-de-France,Tourcoing,Le Fresnoy - événements artistiques,Responsable événements artistiques,ppronnier@lefresnoy.net,03 20 28 38 08,"22 rue du Fresnoy, 59202 Tourcoing cedex",https://www.lefresnoy.net/,https://www.lefresnoy.net/en/institution-en/teams/,Bonne,B,à contacter,Contact nominatif événements artistiques ; à utiliser pour proposition ciblée
France,Hauts-de-France,Amiens,La Lune des Pirates,SMAC / salle de concerts,contact@lalune.net,03 22 97 88 01,"17 quai Bélu / 58 bis rue Saint-Leu, 80000 Amiens",https://www.lalune.net/,https://www.lalune.net/infos/contact,Très forte,A,à contacter,Email et téléphone confirmés par page contact officielle.
France,Hauts-de-France,Amiens,Maison de la Culture d'Amiens,Scène nationale / programmation,accueil@mca-amiens.com,03 22 97 79 79,"2 place Léon Gontier, 80000 Amiens",https://www.maisondelaculture-amiens.com/,https://www.maisondelaculture-amiens.com/,Forte,A,à contacter,Scène nationale ; demander relais programmation musique/danse
