Region,Ville,Service,Type_contact,Contact_nom,Email,Telephone,Adresse,Site,Source_URL,Priorite,Statut,Notes
Hauts-de-France,Lille,Le Flow - Centre Eurorégional des Cultures Urbaines,Programmation / cultures urbaines,Ville de Lille / Le Flow,flow@mairie-lille.fr,+33 3 62 14 59 52,"1 rue de Fontenoy, 59000 Lille",https://flow.lille.fr/,https://flow.lille.fr/nous-contacter,A,à contacter,Source officielle ; la page indique d'envoyer un email à cette adresse pour proposer une programmation
Hauts-de-France,Roubaix,Direction de la Culture,Programmation / culture / patrimoine,Ville de Roubaix,culture@ville-roubaix.fr,03 59 57 32 02,"42 rue du Général Sarrail, 59100 Roubaix",https://www.ville-roubaix.fr/,https://www.ville-roubaix.fr/services-infos-pratiques/culture-et-patrimoine/appel-a-projet-culture-et-patrimoine/,A,à contacter,Source officielle ; utile pour projets culturels et événements
Hauts-de-France,Roubaix,Conservatoire de Roubaix,Musique / danse / scène locale,Ville de Roubaix,conservatoire@ville-roubaix.fr,03 20 70 03 00,"80 rue de Lille, 59100 Roubaix",https://www.ville-roubaix.fr/,https://www.ville-roubaix.fr/services-infos-pratiques/culture-et-patrimoine/conservatoire-de-roubaix/,B,à contacter,Contact musique/danse ; à utiliser en complément du service culture
Hauts-de-France,Tourcoing,Service culture / ville,Programmation culturelle / événements,Ville de Tourcoing,contact@tourcoing.fr,à compléter,"10 place Victor Hassebroucq, 59200 Tourcoing",https://www.tourcoing.fr/,https://www.tourcoing.fr/la-culture-a-tourcoing/,A,à contacter,Email général officiel ; demander transfert vers programmation culture | Contact recoupé depuis autre fichier booking le 13/08/2026.
Hauts-de-France,Tourcoing,Conservatoire CRD,Musique / danse / théâtre,Ville de Tourcoing,crd@ville-tourcoing.fr,03 20 26 60 74,"6 rue Paul Doumer, 59200 Tourcoing",https://www.tourcoing.fr/,https://www.tourcoing.fr/la-culture-a-tourcoing/la-musique-a-tourcoing/le-conservatoire-a-rayonnement-departemental-de-tourcoing/,B,à contacter,Contact culturel musique ; bon relais local
Hauts-de-France,Amiens,Le Safran - scène conventionnée,Programmation / scène municipale,Amiens Métropole,billetterie.safran@amiens-metropole.com,03 22 69 66 00,"3 rue Georges-Guynemer, 80080 Amiens",https://www.amiens.fr/,https://www.amiens.fr/Vivre-a-Amiens/Culture-Patrimoine/Etablissements-culturels/Le-Safran,A,à contacter,Contact officiel visible ; demander relais programmation si besoin
Hauts-de-France,Amiens,Maison de la Culture d'Amiens,Scène nationale / programmation,Amiens MCA,accueil@mca-amiens.com,03 22 97 79 79,"2 place Léon Gontier, 80000 Amiens",https://www.maisondelaculture-amiens.com/,https://www.maisondelaculture-amiens.com/,A,à contacter,Scène nationale ; bon contact pour live et création
Hauts-de-France,Dunkerque,Direction de la Culture,Programmation / culture / événements,Ville de Dunkerque,contact@ville-dunkerque.fr,03 28 26 25 52,"Hôtel de Ville, Place Charles Valentin, 59140 Dunkerque",https://www.ville-dunkerque.fr/,https://www.ville-dunkerque.fr/les-journees-europeennes-du-patrimoine,A,à contacter,Email mairie officiel Service-Public ; Direction culture conserve téléphone direct 03 28 26 25 52.
Hauts-de-France,Calais,Service culturel / théâtre,Programmation / théâtre / événements,Ville de Calais,theatre@mairie-calais.fr,03 21 46 66 00,Calais,https://www.calais.fr/mes-loisirs/culture,https://www.artcena.fr/annuaire/organismes/service-culturel-de-calais,A,à contacter,Contact standard du service culturel recensé ; vérifier avant envoi massif
Hauts-de-France,Calais,Le Channel - scène nationale,Scène nationale / programmation,Le Channel,billetterie@lechannel.org,03 21 46 77 00,Calais,https://lechannel.fr/,https://lechannel.fr/,B,à contacter,"Site officiel temporaire ; email billetterie visible, demander relais programmation"
Hauts-de-France,Lens-Liévin,Direction Culture Tourisme Patrimoine et Sport,Action culturelle / résidences / territoire,Agglomération Lens-Liévin,ldeleplanque@agglo-lenslievin.fr,03 91 84 22 94,Lens-Liévin,https://www.agglo-lenslievin.fr/,https://www.culture.gouv.fr/regions/drac-hauts-de-france/cinq-residences-mission-artistes-lens-lievin-62,B,à contacter,Contact officiel cité par la DRAC pour action culturelle
Normandie,Rouen,Direction de la Culture,Programmation / culture / vie associative,Ville de Rouen,culture@rouen.fr,02 32 08 13 90,"27 rue Victor-Hugo, 76000 Rouen",https://rouen.fr/,https://rouen.fr/fr/la-culture-rouen,A,à contacter,Source officielle ; contact fort pour programmation municipale
Normandie,Caen,Direction de la Culture,Programmation / événements culturels,Ville de Caen,contact@caen.fr,02 14 37 26 02,"Hôtel de Ville, Esplanade Jean-Marie-Louvel, 14027 Caen cedex 9",https://caen.fr/culture,https://caen.fr/culture,A,à contacter,Contact général mairie à utiliser pour transfert Direction Culture ; téléphone direct culture 02 14 37 26 02 conservé.
Normandie,Caen,DRAC Normandie,Institution / soutien / réseau culturel,Ministère de la Culture,drac.normandie@culture.gouv.fr,02 31 38 39 40,"13 bis rue Saint-Ouen, 14052 Caen Cedex 4",https://www.culture.gouv.fr/regions/drac-normandie,https://www.culture.gouv.fr/regions/drac-normandie,B,à contacter,"Pas une commune, mais relais institutionnel utile pour réseau Normandie"
Normandie,Le Havre,Théâtre de l'Hôtel de Ville / Culture,Programmation / théâtre / musique,Ville du Havre,culture@lehavre.fr,02 35 19 45 74,"Place de l'Hôtel de Ville, 76600 Le Havre",https://lehavre.fr/thv-theatre-de-lhotel-de-ville,https://www.campus-lehavre-normandie.fr/fr/sorties-culturelles-et-loisirs,A,à contacter,Email culture public recensé ; à compléter sur site officiel si réponse faible | Contact email exploitable ; champs secondaires à compléter si besoin.
Normandie,Le Havre,THV - régie théâtres,Technique / relais spectacle,Ville du Havre,leonard.coeffic@lehavre.fr,02 35 19 45 84,"Théâtre de l'Hôtel de Ville, Le Havre",https://lehavre.fr/thv-theatre-de-lhotel-de-ville/contact,https://lehavre.fr/thv-theatre-de-lhotel-de-ville/contact,B,à contacter,Contact technique officiel ; utiliser seulement si besoin de relais interne
Normandie,Cherbourg-en-Cotentin,Service culture / associations,Programmation / culture,Ville de Cherbourg-en-Cotentin,anne-sophie.grimard@cherbourg.fr,02 33 08 27 95,Cherbourg-en-Cotentin,https://www.cherbourg.fr/culture-et-loisirs/,https://www.cherbourg.fr/ma-ville/associations/espace-associations/prendre-contact-avec-votre-referent/,A,à contacter,Référente culture officielle ; très utile pour entrée commune
Normandie,Évreux,Conservatoire à Rayonnement Départemental,Musique / programmation culturelle,Evreux Portes de Normandie,crd@epn-agglo.fr,02 32 38 64 62,"12 ter rue Jean-Jaurès, 27000 Évreux",https://culture.evreux.fr/,https://culture.evreux.fr/lieux/conservatoire-a-rayonnement-departemental/,B,à contacter,Contact musique officiel ; demander relais programmation ville si nécessaire
Normandie,Dieppe,Dieppe Scène Nationale,Scène nationale / diffusion / spectacle vivant,DSN,cinema@dsn.asso.fr,02 35 82 04 43,"Quai Bérigny, 76200 Dieppe",https://www.dsn.asso.fr/,https://www.art-et-essai.org/dsn-dieppe-scene-nationale,B,à contacter,"Email cinéma/accueil ; pas service culture communal direct, demander relais programmation"
