Pays,Region,Province,Ville,Nom,Type_fichier,Categorie,Contact_public,Telephone,Site,Source_URL,Styles_Nyllo,Segment_booking,Priorite,Statut,Action_recommandee,Notes,Fichier_source
Belgique,Wallonie,Hainaut,Ham-sur-Heure,Fingova,after-party / bar / club / discotheque,After party Belgique,fingova@gmail.com,,,https://www.facebook.com/Aperobike/,house-music,club/house/electro,B,à contacter,Completer/contact selon calendrier.,Contact email seul fourni au départ ; Facebook Apéros Vélo / Apero Bike indique aussi téléphone +32 497 44 40 21 et localisation Ham-sur-Heure 6120 ; qualifier lien exact avec after party avant envoi,After party Belgique - A SELVA Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Birdy Brussels,after-party / bar / club / discotheque,Club afro house / after party,info@birdybrussels.com,,https://www.birdybrussels.com/,https://www.birdybrussels.com/contact/,world-music | afro-house | house-music,afro/world/house,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Club Avenue Louise ; ouvert vendredi/samedi 00:00-06:00 ; private events possibles ; afrohouse déjà positionné sur le site,After party Belgique - A SELVA Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Mirano Brussels,after-party / bar / club / discotheque,After party / afro house,info@miranobrussels.com,,à compléter,à compléter,world-music | afro-house | house-music,afro/world/house,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Contact fourni manuellement ; téléphone 0456 68 88 52 ; afro party déjà repérée,After party Belgique - A SELVA Nyllo Canella.csv
Belgique,Wallonie,Namur,Eghezee,Chateau d'Egmont,after-party / bar / club / discotheque,After party / afro house,info@chateaudegmont.be,0489 53 52 18,https://www.chateaudegmont.be/,https://www.chateaudegmont.be/,world-music | afro-house | house-music,afro/world/house,A,contact public verifie,Contacter en premier avec message personnalise Nyllo.,Contact fourni manuellement ; téléphone 0489 53 52 18,After party Belgique - A SELVA Nyllo Canella.csv
Belgique,Wallonie,Namur,Namur,Le Kraken Pub,after-party / bar / club / discotheque,Bar / after party afro house,contact@lekrakenpub.com,,https://lekrakenpub.com/,https://lekrakenpub.com/,world-music | afro-house | house-music,afro/world/house,A,verifie email,Contacter en premier avec message personnalise Nyllo.,Contact fourni manuellement ; à qualifier ville et capacité,After party Belgique - A SELVA Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Anderlecht,Storia Club Event,after-party / bar / club / discotheque,Club / after party afro house,storiaclubevent@gmail.com,,https://www.companyweb.be/fr/1004568028/storia-event,https://www.companyweb.be/fr/1004568028/storia-event,world-music | afro-house | house-music,afro/world/house,A,email secondaire,Contacter en premier avec message personnalise Nyllo.,"Contact fourni manuellement ; à qualifier ville et calendrier | Enrichissement fin: Storia Event localise Avenue de Scheut 74, 1070 Anderlecht; email utilisateur conserve.",After party Belgique - A SELVA Nyllo Canella.csv
Belgique,Wallonie,Namur,Namur,La Cuve Namur,after-party / bar / club / discotheque,Bar / after party afro house,lacuvenamur@gmail.com,,à compléter,à compléter,world-music | afro-house | house-music,afro/world/house,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Contact fourni manuellement ; bon angle Namur after party,After party Belgique - A SELVA Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,The Day Club Belgium,after-party / bar / club / discotheque,After party / club afro house,thedayclub.belgium@gmail.com,,à compléter,à compléter,world-music | afro-house | house-music,afro/world/house,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Contact fourni manuellement ; after party Bruxelles,After party Belgique - A SELVA Nyllo Canella.csv
Belgique,Flandre,Anvers,Anvers,House of Lagos,after-party / bar / club / discotheque,Events afro-house / club,houseoflagosofficial@gmail.com,,à compléter,à compléter,world-music | afro-house | house-music,afro/world/house,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Contact fourni ; événements afro-house / afrobeat à Anvers,After party Belgique - A SELVA Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Station BXL,after-party / bar / club / discotheque,Bar DJ / dance / after party,stationbxl@gmail.com,,https://www.visit.brussels/,https://www.visit.brussels/en/visitors/venue-details.Station-BXL.267320,house-music,club/house/electro,A,à contacter,Contacter en premier avec message personnalise Nyllo.,"Visit Brussels indique DJ vendredi/samedi, urban music et dance",After party Belgique - A SELVA Nyllo Canella.csv
