Nom,Ville / region,Ancien_contact,Nouveau_contact,Ancien_tel,Nouveau_tel,Ancien_statut,Nouveau_statut,Source URL,Notes_enrichissement
Supperclub Amsterdam,Amsterdam,+31 6 28725217,sales@supper.nl / info@supper.nl,+31 6 28725217,+31 6 28725217 / +31 20 2050 221,a verifier,verifie email,https://supper.nl/private-events/,Email sales officiel private events + WhatsApp/telephone.
LuminAir Amsterdam,Amsterdam,contact via site,reservations@luminairamsterdam.com / AMSCS_LuminAir@hilton.com,a completer,+31 20 530 0875,a verifier,email secondaire,https://www.luminairamsterdam.com/program,Contacts publics reservations/venue ; pas de mail booking artiste direct.
Zoku Amsterdam Rooftop,Amsterdam,contact via site,contact via site officiel events,a completer,a completer,a verifier,contact via site,https://livezoku.com/amsterdam/events/live-music-house-of-jungle/,Pas de mail direct public fiable repere ; garder comme piste hotel/rooftop.
TOFFLER Rotterdam,Rotterdam,contact via site,info@toffler.nl,a completer,a completer,a verifier,verifie email,https://www.toffler.nl/,Email general officiel club.
Grounds Rotterdam,Rotterdam,contact via site,info@grounds.nu,a completer,+31 6 23733246,a verifier,verifie email,https://www.grounds.nu/en/friends/,Email officiel Grounds ; salle pertinente world/afrobeat/Brazil.
CONTACT Amsterdam,Amsterdam,info@contactamsterdam.nl,info@contactamsterdam.nl,a completer,a completer,a verifier,verifie email,https://www.instagram.com/contactamsterdam/,"Email deja present, statut corrige."
Bar Twenty Two,Amsterdam,contact via site,contact via ADE / site lieu a verifier,a completer,a completer,a verifier,a verifier,https://www.amsterdam-dance-event.nl/en/program/2026/born-house-records-showcase-2026/2807372/,ADE confirme piste house ; mail direct du lieu non trouve.
Bar-Restaurant Van de Werf,Amsterdam,contact via site,contact via site officiel,a completer,a completer,a verifier,a verifier,https://www.amsterdam-dance-event.nl/en/program/2026/welcome-to-the-club/2811375/,Piste ADE ; mail direct non trouve dans cette passe.
WestWeelde,Amsterdam,contact via site,contact via site officiel,a completer,a completer,a verifier,a verifier,https://www.amsterdam-dance-event.nl/en/program/2026/fabric-x-loud-contact/2805830/,Piste ADE ; mail direct non trouve dans cette passe.
Annabel Rotterdam,Rotterdam,contact via site,contact via site officiel,a completer,a completer,a verifier,contact via site,https://annabel.nu/,"Site officiel confirme programmation club/concerts, mail public direct non repere."
PIP Den Haag,Den Haag,contact via site,alles@pipdenhaag.nl,a completer,a completer,a verifier,verifie email,https://pipdenhaag.nl/,Email officiel public PIP Den Haag.
Simplon Groningen,Groningen,contact via site,programma@simplon.nl / productie@simplon.nl,+31 50 318 4150,+31 50 318 4150,a verifier,verifie email,https://simplon.nl/contact/,Emails programme/production officiels.
SambaRoots Amsterdam,Amsterdam,contact via site,fala@samba-roots.com,,a completer,a verifier,verifie email,https://samba-roots.com/,Email officiel SambaRoots.
Bambas Roda de Samba,Amsterdam / Pays-Bas,contact via site,info@bambasrodadesamba.com,WhatsApp via formulaire,WhatsApp via formulaire,a verifier,verifie email,https://www.bambasrodadesamba.com/,Email officiel Bambas Roda de Samba.
BIMHUIS / Roda de Samba,Amsterdam,contact via site,booking@bimhuis.nl / verhuur@bimhuis.nl,,+31 20 788 2150,a verifier,verifie email,https://www.bimhuis.nl/en/calendar/roda-de-samba,Emails booking/location publics BIMHUIS.
A Hora do Brasil Foundation / Brazilian Summer Sessions,Amsterdam,contact via site,contact via DutchCulture / organisation a verifier,,a completer,a verifier,a verifier,https://dutchculture.nl/en/location/hora-do-brasil-foundation,Piste pertinente Bresil ; mail direct non repere.
Dias Latinos,Amersfoort,contact via site,info@diaslatinos.nl / pers@diaslatinos.nl,,a completer,a verifier,verifie email,https://www.diaslatinos.nl/,Emails officiels festival.
Summer Dance Forever,Amsterdam,contact via site,info@summerdanceforever.com,,a completer,a verifier,verifie email,https://www.summerdanceforever.com/festival,Email officiel festival.
A Hora do Brasil / Brazilian Summer Sessions,Amsterdam,contact via site,contact via DutchCulture / organisation a verifier,,a completer,a verifier,a verifier,https://dutchculture.nl/en/location/hora-do-brasil-foundation,Piste pertinente Bresil ; mail direct non repere.
Roda de Samba / BIMHUIS,Amsterdam,contact via site,booking@bimhuis.nl / verhuur@bimhuis.nl,,+31 20 788 2150,a verifier,verifie email,https://www.bimhuis.nl/en/calendar/roda-de-samba,Emails booking/location publics BIMHUIS.
Amsterdam - Gemeente Amsterdam,Amsterdam,contact via formulaire,contact via formulaire officiel,14 020 / +31 20 624 1111,14 020 / +31 20 624 1111,a verifier,contact via site,https://www.amsterdam.nl/en/contact-city-amsterdam/,Contact public municipal ; pas de mail programmation direct.
Den Haag - Gemeente Den Haag,Den Haag,contact via formulaire,contact via formulaire officiel,14070 / +31 70 353 3000,14070 / +31 70 353 3000,a verifier,contact via site,https://www.denhaag.nl/en/contact-with-the-municipality/,Contact public municipal.
Maastricht - Gemeente Maastricht,Maastricht,contact via site,post@maastricht.nl,14 043 / +31 43 350 4040,14 043 / +31 43 350 4040,a verifier,verifie email,https://www.visitmaastricht.com/en/locations/1219962090/municipality-of-maastricht,Email public municipal.
Haarlem - Gemeente Haarlem,Haarlem,contact via site,contact via site officiel,+31 23 511 5115,14 023 / +31 23 511 5115,a verifier,contact via site,https://haarlem.nl/home,Email trouve non pertinent facturation ; garder contact municipal.
Delft - Gemeente Delft,Delft,contact via formulaire,contact via formulaire officiel,14015 / WhatsApp +31 6 52739476,14015 / WhatsApp +31 6 52739476,a verifier,contact public verifie,https://www.delft.nl/en/make-or-cancel-appointment,Telephone/WhatsApp officiel deja present.
Breda - Gemeente Breda,Breda,contact via formulaire,contact via formulaire evenement organiser,+31 76 / contact site,+31 76 529 3001,a verifier,contact public verifie,https://www.breda.nl/evenement-organiseren,Page officielle evenement organiser + telephone.
Arnhem - Gemeente Arnhem,Arnhem,contact via formulaire,contact via formulaire officiel,0800 1809,0800 1809,a verifier,contact public verifie,https://www.arnhem.nl/,Telephone officiel.
Almere - Gemeente Almere,Almere,contact via formulaire,contact via formulaire officiel,14 036 / +31 36 539 9911,14 036 / +31 36 539 9911,a verifier,contact public verifie,https://english.almere.nl/contact,Telephone officiel.
Podium Mozaiek,Amsterdam,contact via site,info@podiummozaiek.nl,a completer,020-5800380,a verifier,verifie email,https://www.podiummozaiek.nl/contact,Email et telephone officiels.
