Pays,Region,Departement,Ville,Nom,Type_fichier,Categorie,Contact_public,Telephone,Site,Source_URL,Styles_Nyllo,Segment_booking,Priorite,Statut,Action_recommandee,Notes,Fichier_source
France,Grand Est,Alsace,Strasbourg,Karmen Camina,bar spectacle / lieu public,Lieu culturel / club / concerts,event@karmen-camina.eu,,https://www.karmen-camina.eu/,https://www.karmen-camina.eu/,bresil | world-music | house-music,DJ/live afro-world-house,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,"Ouvert en mai 2024, house, techno, latincore, afro, dancehall, baile funk | Enrichi auto 13/08/2026 : Contact_public=event@karmen-camina.eu ; source https://www.karmen-camina.eu/",Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Grand Est,Alsace,Strasbourg,KALT,bar spectacle / lieu public,Club électronique / arts visuels,contact@k-alt.com,,https://www.k-alt.com/,https://www.k-alt.com/,house-music,DJ set / house music / club,B,à contacter,Contacter selon calendrier.,"Programmation house, techno, ambient tous les samedis | Enrichi auto 13/08/2026 : Contact_public=contact@k-alt.com ; source https://www.k-alt.com/",Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Grand Est,Alsace,Strasbourg,Hey Mama,bar spectacle / lieu public,Lieu afro-fusion / DJ sets / concerts,03 88 59 08 36,,https://heymama-restaurant.com/,https://heymama-restaurant.com/,world-music | house-music,DJ/live afro-world-house,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,"Cuisine afro-fusion, lieu vivant, événements, DJ sets et concerts",Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Grand Est,Alsace,Strasbourg,Bateau du Rhin,bar spectacle / lieu public,Dîner-concert / soirées latino,lebateaudurhinmusicien@gmail.com,,https://www.bateau-du-rhin.fr/,https://www.bateau-du-rhin.fr/,bresil | world-music | house-music,DJ/live afro-world-house,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,"Contact artistes dédié ; dîners-concerts, soirée latino, DJ, danse",Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Grand Est,Alsace,Strasbourg,Maison de l’Amérique Latine - Café Libro,bar spectacle / lieu public,Café associatif / concerts latino,maisonlatine@gmail.com,,https://maisonlatine.fr/,https://maisonlatine.fr/cafe-associatif/,bresil | world-music,percussions / Bresil / world,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Concert ou spectacle le vendredi à 21h après repas latino | Enrichi auto 13/08/2026 : Contact_public=maisonlatine@gmail.com ; source https://maisonlatine.fr/,Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Grand Est,Alsace,Strasbourg,Ancrage Café,bar spectacle / lieu public,Café alternatif / concerts / DJ sets,ancragecafe@purcoop.org,,https://www.purcoop.org/restaurants/ancrage-cafe,https://www.purcoop.org/restaurants/ancrage-cafe,house-music,DJ set / house music / club,B,à contacter,Contacter selon calendrier.,"Concerts, DJ sets, événements culturels, privatisation | Enrichi auto 13/08/2026 : Contact_public=ancragecafe@purcoop.org ; source https://www.purcoop.org/restaurants/ancrage-cafe",Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Grand Est,Alsace,Strasbourg,Tiger Night Bachata & Kizomba,bar spectacle / lieu public,Soirée danse latine et afro,0659859121,,https://letigre.eu/,https://letigre.eu/evenement/tiger-night/,bresil | world-music,percussions / Bresil / world,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,"Bachata et kizomba, événement compatible danse et afro-latin",Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Grand Est,Alsace,Strasbourg,Coupé décalé,bar spectacle / lieu public,Workshop danse afro,association.solefe@gmail.com,,https://danse.strasbourg.eu/,https://danse.strasbourg.eu/evenements/afro-fusion-duo/,world-music,world music / live hybrid,B,à contacter,Contacter selon calendrier.,"Dates 2025/2026, réseau afro-urbain local",Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Grand Est,Champagne-Ardenne,Reims,House of Brass - Un Été à Reims,bar spectacle / lieu public,Concert électro brass,info-culture@reims.fr,,https://www.infoculture-reims.fr/,https://www.infoculture-reims.fr/details.php?s_ev_id=25165,house-music,DJ set / house music / club,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,"Électro brass, fusion traditionnel/moderne, gratuit",Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Grand Est,Champagne-Ardenne,Reims,CaféGEM,bar spectacle / lieu public,Café associatif / événements culturels,cafegem.reims@gmail.com,,https://www.cafegem.org/,https://www.cafegem.org/contact/,a qualifier,a qualifier,B,à contacter,Contacter selon calendrier.,"Café associatif ouvert à tous, événements culturels et artistiques",Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Grand Est,Champagne-Ardenne,Reims,L’Excalibur,bar spectacle / lieu public,Bar concert,03 26 50 81 28,,à compléter,https://www.instagram.com/explore/locations/17502109/lexcalibur/,a qualifier,a qualifier,B,à contacter,Contacter selon calendrier.,Téléphone lieu trouvé via Instagram location ; email direct non trouvé.,Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Grand Est,Champagne-Ardenne,Reims,L’Appart Café,bar spectacle / lieu public,Café concert / club,ludwig.booking.appartcafe@outlook.fr,,à compléter,https://musiquesactuelles.fr/repertoire/lappart-cafe/,house-music,DJ set / house music / club,B,à contacter,Contacter selon calendrier.,"Café concert electro, indie, rock, jam session lundi",Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Grand Est,Lorraine,Metz,L’Avant-Poste,bar spectacle / lieu public,Café culturel / musique live,03 65 67 47 40,,à compléter,https://www.mosl.fr/en/f838172900_lavant-poste-cafe-culturel-metz-en,a qualifier,a qualifier,B,à contacter,Contacter selon calendrier.,Café avec musique live à Metz,Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Grand Est,Moselle,Metz,Cité musicale-Metz,bar spectacle / lieu public,Salle / programmation musiques du monde,program@citemusicale-metz.fr,03 87 74 16 16,https://www.citemusicale-metz.fr/,https://www.citemusicale-metz.fr/contact,world-music | house-music,DJ/live afro-world-house,A,verifie email,Contacter selon calendrier., | Corrige 13/08/2026 : ville/colonnes et contact programmation officiel.,Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Grand Est,Moselle,Metz,Metz Veggie Festival,bar spectacle / lieu public,Festival musique / food / électro tribal,contact via site officiel,,https://veggie-festival.fr/,https://veggie-festival.fr/,house-music,DJ set / house music / club,B,a verifier,Contacter selon calendrier.,Programmation avec ethno groove et DJ electro tribal ; contacter via site officiel. | Ville corrigee ; contact direct encore a verifier.,Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Grand Est,Meurthe-et-Moselle,Nancy,Cafés concerts Nancy,bar spectacle / lieu public,Lieux multiples cafés-concerts,contacts par lieux listés,,https://www.nancy54.com/sorties-loisirs/bars-pubs-brasseries/cafes-concerts/page-1,https://www.nancy54.com/sorties-loisirs/bars-pubs-brasseries/cafes-concerts/page-1,world-music,world music / live hybrid,B,a qualifier,Contacter selon calendrier.,"Liste de lieux locaux : A la Maison, Le Bon Temps, Royal Royal, Quincaillerie, Black Baron, Chez Paulette, Jazzers Bar. | Ligne source annuaire a utiliser comme piste, pas comme contact unique.",Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Grand Est,Alsace,Strasbourg,Studio Saglio,club / electronic venue,"club, house, tech house, techno, hard techno",contacts@technologik-asso.com,,https://ra.co/clubs/20138,https://ra.co/events/384243,house-music,DJ set / house music / club,B,email secondaire,Contacter selon calendrier.,Contact public via event Technologikal; verifier booking lieu.,ajout cible Grand Est house/DJ
France,Grand Est,Alsace,Strasbourg,La Laiterie Artefact,SMAC / concert / club / festivals,"musiques actuelles, electro, Ososphere, club nights",contact via site officiel,03 88 237 237,https://www.artefact.org/,https://www.artefact.org/,house-music,DJ set / house music / club,A,contact via site,Contacter en premier avec positionnement DJ/live afro house - world house.,Lieu central Strasbourg; utiliser formulaire programmation. | Enrichi 13/08/2026 : Site officiel sans mail programmation public direct repere ; telephone billetterie/standard conserve.,ajout cible Grand Est house/DJ
France,Grand Est,Alsace,Strasbourg,Ososphere,festival electronic / digital arts,"electronic, techno, digital arts, nocturnal",contact via formulaire programmation,03 88 237 237,https://www.artefact.org/l-ososphere/contactez-nous/,https://www.artefact.org/l-ososphere/contactez-nous/,house-music,DJ set / house music / club,A,contact via site,Contacter en premier avec positionnement DJ/live afro house - world house.,Formulaire avec sujet Programmation artistique/musique. | Enrichi 13/08/2026 : Contact via page officielle Ososphere ; pas de mail direct public fiable repere.,ajout cible Grand Est house/DJ
France,Grand Est,Alsace,Strasbourg,Contre-temps Festival / Pelouses Electroniques,festival house / techno / afrobeat,"electro, nu jazz, soul, funk, techno, house, latin, afrobeat, hip-hop",hello@contre-temps.net,,https://www.contre-temps.net/,https://www.festivalenfrance.com/en/festival/pelouses-electroniques,bresil | world-music | house-music,DJ/live afro-world-house,A,verifie email,Contacter en premier avec positionnement DJ/live afro house - world house.,Très fort pour Nyllo DJ/live world-house.,ajout cible Grand Est house/DJ
France,Grand Est,Lorraine,Nancy,L'Autre Canal,SMAC / club / concert,"musiques actuelles, techno events, club, concerts",programmation@lautrecanalnancy.fr,03 83 38 44 88,https://lautrecanalnancy.fr/,https://lautrecanalnancy.fr/infos-pratiques/equipe,house-music,DJ set / house music / club,A,verifie email,Contacter en premier avec positionnement DJ/live afro house - world house.,SMAC Nancy; contact formulaire et telephone officiel. | Enrichi 13/08/2026 : Email programmation public officiel trouve sur la page equipe.,ajout cible Grand Est house/DJ
