Pays,Region,Ville,Nom,Categorie,Contact_public,Telephone,Site,Source_URL,Compatibilite_Nyllo,Priorite,Statut,Notes
France,Hauts-de-France,Lille,Mama Shelter Lille,Hotel / restaurant / bar / DJ sets,food.lille@mamashelter.com,+33 3 59 82 72 02,https://mamashelter.com/lille/eat-drink/,https://mamashelter.com/lille/eat-drink/,Très forte,A,à contacter,Hotel avec restaurant/bar et calendrier DJ sets/live entertainment ; contacter restaurant ou lille@mamashelter.com pour privatisation
France,Hauts-de-France,Lille,Mama Shelter Lille - hotel events,Hotel / terrasse / events,lille@mamashelter.com,+33 3 59 82 72 00,https://all.accor.com/hotel/B1C1/index.en.shtml,https://all.accor.com/hotel/B1C1/index.en.shtml,Forte,A,à contacter,Contact réservation hôtel ; utile pour event global ou terrasse
France,Hauts-de-France,Lille,The View / Carlton Hotel,Cocktail bar hotel / private party,bar@theviewlille.com,+33 3 20 13 33 13,https://www.theviewlille.com/en/private-events,https://www.theviewlille.com/en/private-events,Très forte,A,à contacter,"Bar du Carlton ; page privatisation et private events, afterwork et business event"
France,Hauts-de-France,Lille,The View / Carlton Hotel - commercial,Hotel bar / event commercial,commercial@carltonlille.com,+33 3 20 13 33 13,https://www.theviewlille.com/en/,https://www.theviewlille.com/en/,Forte,A,à contacter,Contact commercial pour demandes hors dates prévues et événements sur mesure
France,Hauts-de-France,Lille,Cafe Oz Lille,Bar festif / DJ sets / privatisation,lille@cafe-oz.com,+33 3 59 05 34 00,https://cafe-oz.com/etablissement/cafe-oz-lille/,https://www.instagram.com/cafeozlille/?hl=en,Très forte,A,à contacter,Email public trouvé sur Instagram officiel ; Office de Tourisme Lille indique aussi téléphone principal et numéro privatisations/fournisseurs +33 3 59 57 94 59
France,Hauts-de-France,Lille,KaraFun Bar Lille,Bar karaoke / private party,lille@karafunbar.com,03 74 09 08 00,https://www.karafunbar.com/fr/contact,https://www.karafunbar.com/fr/contact,Bonne,B,à contacter,"Email et téléphone officiels ; adresse 8 rue Ratisbonne, 59000 Lille ; privatisation possible à partir de 30 personnes"
France,Hauts-de-France,Lille,Clarance Hotel,Hotel boutique / events,event@clarancehotel.com,+33 3 59 36 35 59,https://www.clarancehotel.com/en/page/seminar-event-lille.7907.html,https://www.clarancehotel.com/en/page/seminar-event-lille.7907.html,Forte,A,à contacter,Hotel 5 etoiles avec événements ; approche afterwork/private event chic
France,Hauts-de-France,Lille,Hermitage Gantois,Hotel 5 etoiles / afterwork,reservation@gantoislille.com,+33 3 20 85 30 30,https://www.hotelhermitagegantois.com/fr/page/contact-hotel-lille-centre-ville.11414.html,https://www.hotelhermitagegantois.com/fr/page/contact-hotel-lille-centre-ville.11414.html,Forte,A,à contacter,Page dédiée afterwork + contact hotel officiel ; Marriott liste aussi hotel@gantoislille.com
France,Hauts-de-France,Lille,Grand Hotel Bellevue,Hotel / bar / rooftop terrace,contact@grandhotelbellevue.com,+33 3 20 57 45 64,https://www.grandhotelbellevue.com/en/page/lille-centre-bar.24341.html,https://www.grandhotelbellevue.com/en/page/lille-centre-bar.24341.html,Bonne,B,à contacter,Hotel avec bar et rooftop terrace ; vérifier capacité musique
France,Hauts-de-France,Lille,Le Musical,Bar concerts / jams / DJ sets,lemusical@gmail.com,1756482732,https://www.lemusical.fr/,https://www.lemusical.fr/,Forte,A,à contacter,"Bar de quartier avec événements réguliers, concerts et DJ ; déjà dans base bars | Enrichi auto 13/08/2026 : Telephone=1756482732 ; source https://www.lemusical.fr/"
