Nom_avant,Nom_apres,Ancien_contact,Nouveau_contact,Ancien_statut,Nouveau_statut,Source_URL
Storia Club Event,Storia Club Event,storiaclubevent@gmail.com,storiaclubevent@gmail.com,à contacter,a verifier,à compléter
Storia Club Event,Storia Club Event,storiaclubevent@gmail.com,storiaclubevent@gmail.com,à contacter,a verifier,à compléter
Bars et cafés,Bars et cafés,à vérifier,contact via Court-Circuit / Stoemp!,Festival semestriel des café-concerts bruxellois selon Visit Brussels,a verifier,Forte
Salle 1180,Salle 1180,à vérifier,salle1180@uccle.brussels,à vérifier,verifie email,https://www.uccle.be/fr/vie-pratique/enfance-et-jeunesse/jeunesse/salle-1180
Groezrock,Groezrock,,contact via site,a verifier,a verifier,https://www.groezrock.be/
Festival Retropop,Hello Festival / ex-Retropop,,contact via site,a verifier,hors fichier Belgique,https://hellofestival.nl/
Paradise City Festival,Paradise City Festival,,info@paradisecity.be,a verifier,verifie email,https://www.paradisecity.be/en/
Graspop Metal Meeting,Graspop Metal Meeting,,info@gmm.be,a verifier,verifie email,https://www.graspop.be/en/contact
Couleur Café,Couleur Café,,festival@couleurcafe.org,a verifier,verifie email,https://www.couleurcafe.be/en/contact
Festival Francofolies de Spa,Festival Francofolies de Spa,,info@francofolies.be / yoann@francofolies.be,a verifier,verifie email,https://francofolies.be/plus-de-francos/contacts/
Rock Werchter,Rock Werchter,,info@rockwerchter.be,a verifier,verifie email,https://www.rockwerchter.be/en/disclaimer
Les Ardentes,Les Ardentes,,info@lesardentes.be,a verifier,verifie email,https://lesardentes.be/contact/
Cactus Festival,Cactus Festival,,info@cactusmusic.be,a verifier,verifie email,https://www.cactusfestival.be/info/faq-en/
Tomorrowland,Tomorrowland,,contact via Tomorrowland Account support form,a verifier,contact via site,https://faq.tomorrowland.com/hc/en-us
Pukkelpop,Pukkelpop,,hello@pukkelpop.be,a verifier,verifie email,https://www.pukkelpop.be/en/info
FiestaCity,FiestaCity,,festivalfiestacity@gmail.com,a verifier,verifie email,https://www.fiestacity.be/contact/
l,Eupen Music Marathon,,contact via site,a verifier,telephone verifie,https://www.ostbelgien.eu/en/events/fiche/2026-05-30/eupen-music-marathon
Absolutely Free Festival,Absolutely Free Festival,,info@aff.be,a verifier,verifie email,https://aff.be/contact/
Gent Jazz Festival,Gent Jazz Festival,,info@gentjazz.com,a verifier,verifie email,https://www.gentjazz.com/en/info/general
